序号    类型   子类    总长度              点距                 夹角                半径
 123    0       0       801.6               1.7506             -4.4388             -22.9865 
 124    0       0       803.3328            1.7328             -4.4971             -22.5402 
 125    0       0       805.0592            1.7263             -4.5008             -22.5122 
 126    0       0       806.7904            1.7312             -4.4495             -22.902 
 127    0       0       808.5379            1.7474             -4.3468             -23.7167 
 128    0       0       810.3125            1.7746             -4.1998             -24.971 
 129    0       0       812.1247            1.8122             -4.0177             -26.6868 
 130    0       0       813.9844            1.8596             -3.8103             -28.8922 
 131    0       0       815.9004            1.9161             -3.5876             -31.6213 
 132    0       0       817.8737            1.9733             -5.0566             -45.8575 
 133    0       0       823.9265            6.0528             -.8838              -456.3078 
 134    0       0       831.9206            7.9941              0                   0 
 135    0       0       839.9187            7.9981              0                   0 
 136    0       0       847.917             7.9983              0                   0 
 137    0       0       855.9156            7.9986              0                   0 
 138    0       0       863.9145            7.9989              0                   0 
 139    0       0       871.9139            7.9994              0                   0 
 140    0       0       879.9138            7.9999              0                   0 
 141    0       0       887.9142            8.0005              0                   0 
 142    0       0       895.9153            8.0011              0                   0 
 143    0       0       903.9172            8.0019              0                   0 
 144    0       0       911.9199            8.0027              0                   0 
 145    0       2       912.0834            .1635               86.2717             0 
 146    0      -1       919.4234            7.3401             -90                  0 
 147    0       0       922.7242            3.3007              0                   0 
 148    0       2       929.7458            7.0216              90                  0 
 149    0       0       930.325             .5792               0                   0 
 150    0       0       937.925             7.6001              0                   0 
 151    0       0       945.5245            7.5995              0                   0 
 152    0       0       953.1236            7.5991              0                   0 
 153    0       0       960.7224            7.5988              0                   0 
 154    0       0       968.3211            7.5987              0                   0 
 155    0       0       975.9198            7.5987              0                   0 
 156    0       0       983.5187            7.5989              0                   0 
 157    0       0       991.1179            7.5993              0                   0 
 158    0       0       998.7177            7.5998              0                   0 
 159    0       0       1006.3181           7.6004              0                   0 
 160    0      -1       1013.4193           7.1012             -90                  0 
 161    0       0       1020.9229           7.5036              0                   0 
 162    0       0       1028.9256           8.0027              0                   0 
 163    0       0       1036.9274           8.0019              0                   0 
 164    0       0       1044.9286           8.0011              0                   0 
 165    0       0       1052.929            8.0005              0                   0 
 166    0       0       1060.9289           7.9999              0                   0 
 167    0       0       1068.9282           7.9994              0                   0 
 168    0       0       1076.9272           7.9989              0                   0 
 169    0       2       1080.7328           3.8056              90                  0 
 170    0       0       1084.9258           4.193               0                   0 
 171    0       0       1092.9241           7.9983              0                   0 
 172    0       2       1098.3952           5.4711              86.6252             0 
 173    0       0       1100.9222           2.527               0                   0 
 174    0       0       1108.9177           7.9955             -.5758              -702.6208 
 175    0       0       1115.0209           6.1033             -4.42               -53.015 
 176    0       0       1117.037            2.016              -3.5799             -32.2833 
 177    0       0       1118.9873           1.9504             -3.8192             -29.2991 
 178    0       0       1120.8756           1.8883             -4.046              -26.8717 
 179    0       0       1122.7111           1.8355             -4.2498             -24.9624 
 180    0       0       1124.5038           1.7927             -4.4195             -23.539 
 181    0       0       1126.2647           1.7608             -4.5444             -22.5759 
 182    0       0       1128.005            1.7404             -4.6158             -22.0548 
 183    0       0       1129.7369           1.7318             -4.6283             -21.9657 
 184    0       0       1131.4722           1.7354             -4.5809             -22.3068 
 185    0       0       1133.2232           1.7509             -4.4774             -23.0848 
 186    0       0       1135.0013           1.7781             -4.325              -24.3146 
 187    0       0       1136.8178           1.8165             -4.1339             -26.0187 
 188    0       0       1138.683            1.8652             -3.9153             -28.2268 
 189    0       0       1140.6065           1.9236             -3.6801             -30.975 
 190    0       0       1142.5971           1.9906             -3.4378             -34.3049 
 191    0       0       1144.656            2.0589             -4.7059             -39.7513 
 192    0       0       1149.0445           4.3885             -5.4787             -48.2923 
 193    0       0       1153.7994           4.7549             -4.666              -61.4273 
 194    0       0       1158.9646           5.1652             -3.9719             -78.1938 
 195    0      -1       1165.0834           6.1188              86.2717             0 
 196    0       0       1166.2508           1.1674              0                   0 
 197    0       0       1171.5835           5.3327              0                   0 
 198    0       0       1176.9118           5.3283              0                   0 
 199    0      -1       1182.7458           5.834               90                  0 
 200    0       0       1189.2444           6.4986              0                   0 
 201    0       0       1195.2432           5.9988              0                   0 
 202    0       0       1201.2422           5.999               0                   0 
 203    0       0       1207.2414           5.9992              0                   0 
 204    0       0       1213.2407           5.9994              0                   0 
 205    0       0       1219.2402           5.9995              0                   0 
 206    0       0       1225.2399           5.9996              0                   0 
 207    0       0       1231.2396           5.9997              0                   0 
 208    0       0       1237.2395           5.9998              0                   0 
 209    0       0       1243.2394           5.9999              0                   0 
 210    0       0       1249.2393           5.9999              0                   0 
 211    0       0       1255.2393           6                   0                   0 
 212    0       0       1261.2393           6                   0                   0 
 213    0       0       1267.2392           6                   0                   0 
 214    0       0       1273.2392           5.9999              0                   0 
 215    0       0       1279.2391           5.9999              0                   0 
 216    0       0       1285.2389           5.9998              0                   0 
 217    0       0       1291.2387           5.9997              0                   0 
 218    0       0       1297.2383           5.9996              0                   0 
 219    0       0       1303.2378           5.9995              0                   0 
 220    0       0       1309.2372           5.9994              0                   0 
 221    0       0       1315.2364           5.9992              0                   0 
 222    0       0       1321.2354           5.999               0                   0 
 223    0       0       1327.2342           5.9988              0                   0 
 224    0      -1       1333.7328           6.4986              90                  0 
 225    0       0       1334.9002           1.1674              0                   0 
 226    0       0       1340.2329           5.3327              0                   0 
 227    0       0       1345.5612           5.3283              0                   0 
 228    0      -1       1351.3952           5.834               86.6252             0 
 229    0       0       1355.0906           3.6954             -2.4487             -108.2868 
 230    0       0       1361.1124           6.0219             -3.7506             -88.873 
 231    0       0       1366.6611           5.5487             -4.4085             -69.7571 
 232    0       0       1371.7669           5.1059             -5.1882             -54.6556 
 233    0       0       1376.4719           4.7049             -4.4737             -44.7457 
 234    0       0       1378.676            2.2042             -3.282              -38.3595 
 235    0       0       1380.8023           2.1263             -3.529              -34.4051 
 236    0       0       1382.852            2.0497             -3.7753             -31.0968 
 237    0       0       1384.8337           1.9817             -4.012              -28.3868 
 238    0       0       1386.7568           1.923              -4.229              -26.2324 
 239    0       0       1388.6315           1.8748             -4.4145             -24.5974 
 240    0       0       1390.4693           1.8378             -4.5572             -23.4521 
 241    0       0       1392.282            1.8127             -4.6472             -22.7751 
 242    0       0       1394.082            1.8                -4.6778             -22.5529 
 243    0       0       1395.8822           1.8002             -4.6466             -22.7812 
 244    0       0       1397.6952           1.813              -4.556              -23.4646 
 245    0       0       1399.5335           1.8384             -4.4127             -24.6165 
 246    0       0       1401.4092           1.8756             -4.2268             -26.2588 
 247    0       0       1403.3333           1.9241             -4.0096             -28.421 
 248    0       0       1405.3163           1.983              -3.7726             -31.1398 
 249    0       0       1407.3672           2.0509             -3.6072             -81.1539 
 250    0       2       1413.6526           6.2854              85.4348             0 
 251    0       0       1415.4835           1.8309              0                   0 
 252    0       0       1423.6156           8.1321              0                   0 
 253    0       2       1431.315            7.6994              90                  0 
 254    0       0       1431.7477           .4327               0                   0 
 255    0       0       1439.8798           8.1321              0                   0 
 256    0       0       1448.0119           8.1322              0                   0 
 257    0       0       1456.1442           8.1322              0                   0 
 258    0       0       1464.2764           8.1323              0                   0 
 259    0       0       1472.4088           8.1323              0                   0 
 260    0       0       1480.5412           8.1324              0                   0 
 261    0       0       1488.6737           8.1325              0                   0 
 262    0       0       1496.8063           8.1326              0                   0 
 263    0       0       1504.939            8.1327              0                   0 
 264    0       0       1513.0718           8.1328              0                   0 
 265    0       0       1521.2048           8.133               0                   0 
 266    0       0       1529.3379           8.1331              0                   0 
 267    0       0       1537.4711           8.1332              0                   0 
 268    0       0       1545.6045           8.1334              0                   0 
 269    0       0       1553.7381           8.1336              0                   0 
 270    0       0       1561.8718           8.1337              0                   0 
 271    0       0       1570.0057           8.1339              0                   0 
 272    0       0       1578.1398           8.1341              0                   0 
 273    0       2       1582.302            4.1621              90                  0 
 274    0       0       1586.2741           3.9722              0                   0 
 275    0       0       1594.4087           8.1345              0                   0 
 276    0       2       1599.9644           5.5557              86.0738             0 
 277    0       0       1602.5411           2.5767             -.5391              -973.5189 
 278    0       0       1612.6977           10.1566            -6.0099             -58.0815 
 279    0       0       1614.6398           1.9422             -4.117              -27.26 
 280    0       0       1616.5333           1.8935             -4.3395             -25.1937 
 281    0       0       1618.3796           1.8463             -4.5271             -23.6468 
 282    0       0       1620.1903           1.8107             -4.6674             -22.5904 
 283    0       0       1621.9779           1.7876             -4.7504             -22.0033 
 284    0       0       1623.7552           1.7773             -4.7694             -21.8737 
 285    0       0       1625.5355           1.7802             -4.7229             -22.1989 
 286    0       0       1627.3317           1.7963             -4.6146             -22.9857 
 287    0       0       1629.1567           1.825              -4.4529             -24.2501 
 288    0       0       1631.0226           1.8659             -4.2491             -26.017 
 289    0       0       1632.9407           1.9181             -4.0156             -28.3189 
 290    0       0       1634.9213           1.9806             -3.7649             -31.1957 
 291    0       0       1636.9739           2.0526             -3.5074             -34.6933 
 292    0       0       1639.107            2.1331             -3.2519             -38.863 
 293    0       0       1641.328            2.221              -3.0045             -43.7603 
 294    0       0       1643.6378           2.3098             -4.0711             -51.5348 
 295    0       0       1648.5802           4.9424             -4.6963             -63.4234 
 296    0       0       1653.9559           5.3758             -3.9794             -81.3021 
 297    0       0       1659.8014           5.8455             -3.3843             -103.6572 
 298    0      -1       1666.6526           6.8511              85.4348             0 
 299    0       0       1667.8201           1.1675              0                   0 
 300    0       0       1673.159            5.3389              0                   0 
 301    0       0       1678.4923           5.3333              0                   0 
 302    0      -1       1684.315            5.8227              90                  0 
 303    0       0       1690.8135           6.4986              0                   0 
 304    0       0       1696.8124           5.9988              0                   0 
 305    0       0       1702.8114           5.999               0                   0 
 306    0       0       1708.8106           5.9992              0                   0 
 307    0       0       1714.8099           5.9994              0                   0 
 308    0       0       1720.8094           5.9995              0                   0 
 309    0       0       1726.8091           5.9996              0                   0 
 310    0       0       1732.8088           5.9997              0                   0 
 311    0       1       1736.4858           3.677              -90                  0 
 312    0       0       1738.8086           2.3228              0                   0 
 313    0       0       1744.8085           5.9999              0                   0 
 314    0       0       1750.8085           5.9999              0                   0 
 315    0       0       1756.8085           6                   0                   0 
 316    0       0       1762.8085           6                   0                   0 
 317    0       0       1768.8084           6                   0                   0 
 318    0       0       1774.8084           5.9999              0                   0 
 319    0       0       1780.8083           5.9999              0                   0 
 320    0       0       1786.8081           5.9998              0                   0 
 321    0       0       1792.8079           5.9997              0                   0 
 322    0       0       1798.8075           5.9996              0                   0 
 323    0       0       1804.807            5.9995              0                   0 
 324    0       0       1810.8064           5.9994              0                   0 
 325    0       0       1816.8056           5.9992              0                   0 
 326    0       0       1822.8046           5.999               0                   0 
 327    0       0       1828.8034           5.9988              0                   0 
 328    0       1       1830.4817           1.6784             -90                  0 
 329    0      -1       1835.302            4.8202              90                  0 
 330    0       0       1836.4665           1.1646              0                   0 
 331    0       0       1841.7908           5.3243              0                   0 
 332    0       0       1847.1251           5.3343              0                   0 
 333    0      -1       1852.9644           5.8393              86.0738             0 
 334    0       0       1859.0451           6.0807             -3.9738             -77.6644 
 335    0       0       1864.1801           5.135              -4.6577             -61.2102 
 336    0       0       1868.9124           4.7324             -5.4553             -48.2984 
 337    0       0       1873.2856           4.3732             -4.6749             -39.8871 
 338    0       0       1875.3394           2.0538             -3.4093             -34.5147 
 339    0       0       1877.3264           1.987              -3.6447             -31.2257 
 340    0       0       1879.2478           1.9214             -3.8729             -28.5074 
 341    0       0       1881.112            1.8642             -4.0846             -26.3197 
 342    0       0       1882.9285           1.8165             -4.2696             -24.6278 
 343    0       0       1884.7073           1.7788             -4.4173             -23.4031 
 344    0       0       1886.4593           1.752              -4.5182             -22.6237 
 345    0       0       1888.1959           1.7365             -4.5652             -22.275 
 346    0       0       1889.9286           1.7327             -4.5548             -22.3506 
 347    0       0       1891.6693           1.7407             -4.4879             -22.8517 
 348    0       0       1893.4294           1.7602             -4.3692             -23.7879 
 349    0       0       1895.2203           1.7909             -4.207              -25.1762 
 350    0       0       1897.0525           1.8322             -4.0112             -27.041 
 351    0       0       1898.9358           1.8833             -3.7924             -29.4132 
 352    0       0       1900.8793           1.9435             -3.5606             -32.3295 
 353    0       0       1902.8853           2.0059             -4.6949             -46.14 
 354    0       0       1908.3772           5.4919             -.8523              -414.0577 
 355    0       0       1915.1757           6.7985              0                   0 
 356    0       0       1921.9772           6.8015              0                   0 
 357    0       0       1928.7782           6.8009              0                   0 
 358    0       0       1935.5787           6.8005              0                   0 
 359    0       0       1942.3789           6.8002              0                   0 
 360    0       0       1949.179            6.8001              0                   0 
 361    0       0       1955.9791           6.8001              0                   0 
 362    0       0       1962.7794           6.8003              0                   0 
 363    0       2       1966.6599           3.8804              85.6388             0 
 364    0       0       1969.5801           2.9202              0                   0 
 365    0       0       1976.3813           6.8012              0                   0 
 366    0       0       1983.1832           6.8019              0                   0 
 367    0       2       1984.3223           1.1391              90                  0 
