ÐòºÅ       ×Ü³¤¶È                 µã¾à                   ¼Ð½Ç              °ë¾¶
 142        698.3792                7.5991                0                 0 
 143        705.978                 7.5988                0                 0 
 144        713.5766                7.5987                0                 0 
 145        721.1754                7.5987                0                 0 
 146        728.7743                7.5989                0                 0 
 147        736.3735                7.5993                0                 0 
 148        743.9733                7.5998                0                 0 
 149        751.5737                7.6004                0                 0 
 150        759.1749                7.6012               -90               -5.519 
 151        767.1785                8.0036                0                 0 
 152        775.1812                8.0027                0                 0 
 153        783.183                 8.0019                0                 0 
 154        791.1842                8.0011                0                 0 
 155        799.1846                8.0005                0                 0 
 156        807.1845                7.9999                0                 0 
 157        815.1838                7.9994                0                 0 
 158        823.1828                7.9989                0                 0 
 159        831.1813                7.9986                0                 0 
 160        839.1796                7.9983                0                 0 
 161        847.1778                7.9981                0                 0 
 162        855.1758                7.998                -.5758            -702.6208 
 163        861.3008                6.1251               -4.42             -53.015 
 164        863.3518                2.0509               -3.5799           -32.2833 
 165        865.3344                1.9826               -3.8192           -29.2991 
 166        867.257                 1.9226               -4.046            -26.8717 
 167        869.1287                1.8717               -4.2498           -24.9624 
 168        870.9593                1.8306               -4.4195           -23.539 
 169        872.7592                1.7999               -4.5444           -22.5759 
 170        874.5395                1.7803               -4.6158           -22.0548 
 171        876.3117                1.7722               -4.6283           -21.9657 
 172        878.0873                1.7756               -4.5809           -22.3068 
 173        879.8777                1.7904               -4.4774           -23.0848 
 174        881.6943                1.8165               -4.325            -24.3146 
 175        883.5477                1.8534               -4.1339           -26.0187 
 176        885.448                 1.9003               -3.9153           -28.2268 
 177        887.4047                1.9567               -3.6801           -30.975 
 178        889.4263                2.0216               -3.4378           -34.3049 
 179        891.5207                2.0944               -4.7059           -39.7513 
 180        895.9536                4.4329               -5.4787           -48.2923 
 181        900.7528                4.7992               -4.666            -61.4273 
 182        905.9557                5.2029               -3.9719           -78.1938 
 183        911.5918                5.6361                86.2717           2.8653 
 184        912.2592                .6674                 0                 0 
 185        917.5919                5.3327                0                 0 
 186        922.9203                5.3283                0                 0 
 187        928.2542                5.334                 90                4.0135 
 188        934.2528                5.9986                0                 0 
 189        940.2516                5.9988                0                 0 
 190        946.2506                5.999                 0                 0 
 191        952.2498                5.9992                0                 0 
 192        958.2492                5.9994                0                 0 
 193        964.2487                5.9995                0                 0 
 194        970.2483                5.9996                0                 0 
 195        976.2481                5.9997                0                 0 
 196        982.2479                5.9998                0                 0 
 197        988.2478                5.9999                0                 0 
 198        994.2478                5.9999                0                 0 
 199        1000.2477               6                     0                 0 
 200        1006.2477               6                     0                 0 
 201        1012.2477               6                     0                 0 
 202        1018.2476               5.9999                0                 0 
 203        1024.2475               5.9999                0                 0 
 204        1030.2474               5.9998                0                 0 
 205        1036.2471               5.9997                0                 0 
 206        1042.2468               5.9996                0                 0 
 207        1048.2463               5.9995                0                 0 
 208        1054.2456               5.9994                0                 0 
 209        1060.2448               5.9992                0                 0 
 210        1066.2438               5.999                 0                 0 
 211        1072.2426               5.9988                0                 0 
 212        1078.2412               5.9986                90                3.0178 
 213        1078.9086               .6674                 0                 0 
 214        1084.2413               5.3327                0                 0 
 215        1089.5697               5.3283                0                 0 
 216        1094.9036               5.334                 86.6252           3.1971 
 217        1098.1097               3.2061               -2.4487           -108.2868 
 218        1104.1586               6.0489               -3.7506           -88.873 
 219        1109.7429               5.5843               -4.4085           -69.7571 
 220        1114.8906               5.1477               -5.1882           -54.6556 
 221        1119.6377               4.7471               -4.4737           -44.7457 
 222        1121.8757               2.238                -3.282            -38.3595 
 223        1124.0317               2.156                -3.529            -34.4051 
 224        1126.1133               2.0816               -3.7753           -31.0968 
 225        1128.1289               2.0156               -4.012            -28.3868 
 226        1130.0879               1.959                -4.229            -26.2324 
 227        1132.0004               1.9125               -4.4145           -24.5974 
 228        1133.8773               1.8769               -4.5572           -23.4521 
 229        1135.7302               1.8528               -4.6472           -22.7751 
 230        1137.5709               1.8407               -4.6778           -22.5529 
 231        1139.4117               1.8408               -4.6466           -22.7812 
 232        1141.2649               1.8532               -4.556            -23.4646 
 233        1143.1424               1.8775               -4.4127           -24.6165 
 234        1145.0557               1.9133               -4.2268           -26.2588 
 235        1147.0158               1.9601               -4.0096           -28.421 
 236        1149.0327               2.0169               -3.7726           -31.1398 
 237        1151.1158               2.0831               -3.6072           -81.1539 
 238        1159.2479               8.1321                0                 0 
 239        1167.38                 8.1321                0                 0 
 240        1175.5121               8.1321                0                 0 
 241        1183.6442               8.1321                0                 0 
 242        1191.7763               8.1322                0                 0 
 243        1199.9086               8.1322                0                 0 
 244        1208.0408               8.1323                0                 0 
 245        1216.1732               8.1323                0                 0 
 246        1224.3056               8.1324                0                 0 
 247        1232.4381               8.1325                0                 0 
 248        1240.5707               8.1326                0                 0 
 249        1248.7034               8.1327                0                 0 
 250        1256.8362               8.1328                0                 0 
 251        1264.9692               8.133                 0                 0 
 252        1273.1023               8.1331                0                 0 
 253        1281.2355               8.1332                0                 0 
 254        1289.3689               8.1334                0                 0 
 255        1297.5025               8.1336                0                 0 
 256        1305.6362               8.1337                0                 0 
 257        1313.7701               8.1339                0                 0 
 258        1321.9042               8.1341                0                 0 
 259        1330.0385               8.1343                0                 0 
 260        1338.1731               8.1345                0                 0 
 261        1346.3078               8.1348               -.5391            -973.5189 
 262        1356.493                10.1852              -6.0099           -58.0815 
 263        1358.4793               1.9863               -4.117            -27.26 
 264        1360.4097               1.9304               -4.3395           -25.1937 
 265        1362.2947               1.885                -4.5271           -23.6468 
 266        1364.1455               1.8508               -4.6674           -22.5904 
 267        1365.9742               1.8287               -4.7504           -22.0033 
 268        1367.7931               1.8189               -4.7694           -21.8737 
 269        1369.6148               1.8217               -4.7229           -22.1989 
 270        1371.4517               1.837                -4.6146           -22.9857 
 271        1373.3163               1.8646               -4.4529           -24.2501 
 272        1375.2201               1.9038               -4.2491           -26.017 
 273        1377.1743               1.9541               -4.0156           -28.3189 
 274        1379.1889               2.0146               -3.7649           -31.1957 
 275        1381.2732               2.0844               -3.5074           -34.6933 
 276        1383.4358               2.1626               -3.2519           -38.863 
 277        1385.684                2.2483               -3.0045           -43.7603 
 278        1388.0248               2.3407               -4.0711           -51.5348 
 279        1393.0054               4.9806               -4.6963           -63.4234 
 280        1398.419                5.4136               -3.9794           -81.3021 
 281        1404.2966               5.8776               -3.3843           -103.6572 
 282        1410.6625               6.3659                85.4348           3.237 
 283        1411.33                 .6675                 0                 0 
 284        1416.6689               5.3389                0                 0 
 285        1422.0022               5.3333                0                 0 
 286        1427.3249               5.3227                90                4.0098 
 287        1433.3235               5.9986                0                 0 
 288        1439.3223               5.9988                0                 0 
 289        1445.3213               5.999                 0                 0 
 290        1451.3205               5.9992                0                 0 
 291        1457.3199               5.9994                0                 0 
 292        1463.3194               5.9995                0                 0 
 293        1469.319                5.9996                0                 0 
 294        1475.3188               5.9997                0                 0 
 295        1481.3186               5.9998                0                 0 
 296        1487.3185               5.9999                0                 0 
 297        1493.3184               5.9999                0                 0 
 298        1499.3184               6                     0                 0 
 299        1505.3184               6                     0                 0 
 300        1511.3184               6                     0                 0 
 301        1517.3183               5.9999                0                 0 
 302        1523.3182               5.9999                0                 0 
 303        1529.3181               5.9998                0                 0 
 304        1535.3178               5.9997                0                 0 
 305        1541.3174               5.9996                0                 0 
 306        1547.317                5.9995                0                 0 
 307        1553.3163               5.9994                0                 0 
 308        1559.3155               5.9992                0                 0 
 309        1565.3145               5.999                 0                 0 
 310        1571.3133               5.9988                0                 0 
 311        1577.3119               5.9986                90                3.0176 
 312        1577.9765               .6646                 0                 0 
 313        1583.3008               5.3243                0                 0 
 314        1588.6351               5.3343                0                 0 
 315        1593.9743               5.3393                86.0738           4.0075 
 316        1599.5724               5.598                -3.9738           -77.6644 
 317        1604.745                5.1727               -4.6577           -61.2102 
 318        1609.5215               4.7765               -5.4553           -48.2984 
 319        1613.9389               4.4174               -4.6749           -39.8871 
 320        1616.028                2.0891               -3.4093           -34.5147 
