ÐòºÅ       ×Ü³¤¶È                 µã¾à                   ¼Ð½Ç              °ë¾¶
 139        892.5145                9.8787                3.4328            167.8433 
 140        902.7449                10.2304               3.1941            186.998 
 141        913.3612                10.6163               2.9617            209.4336 
 142        924.3941                11.0329               2.7396            235.4081 
 143        935.8708                11.4767               2.5304            265.193 
 144        947.8157                11.9448               2.3354            299.0709 
 145        960.2501                12.4344               2.1553            337.3331 
 146        973.1932                12.9431               .9882             527.7221 
 147        978.4541                5.2609                0                 0 
 148        983.7149                5.2609                0                 0 
 149        988.9758                5.2609                0                 0 
 150        994.2366                5.2609                0                 0 
 151        999.4975                5.2609                0                 0 
 152        1004.7584               5.2609                0                 0 
 153        1010.0192               5.2609                0                 0 
 154        1015.2801               5.2609                0                 0 
 155        1020.5409               5.2609                0                 0 
 156        1025.8018               5.2609                0                 0 
 157        1031.0626               5.2609                0                 0 
 158        1036.3235               5.2609                0                 0 
 159        1041.5843               5.2609                0                 0 
 160        1046.8452               5.2609                0                 0 
 161        1052.106                5.2609                0                 0 
 162        1057.3669               5.2608                0                 0 
 163        1062.6277               5.2608                0                 0 
 164        1067.8886               5.2608                0                 0 
 165        1073.1494               5.2608                0                 0 
 166        1078.4103               5.2608                0                 0 
 167        1083.6711               5.2608                0                 0 
 168        1088.932                5.2608                0                 0 
 169        1094.1928               5.2608                0                 0 
 170        1099.4537               5.2608                0                 0 
 171        1104.7145               5.2608                90                2.6515 
 172        1105.3819               .6674                 0                 0 
 173        1110.7146               5.3327                0                 0 
 174        1116.043                5.3283                0                 0 
 175***     1121.3769               5.334                 87.0042           3.2061 
