ÐòºÅ     x×ø±ê             y×ø±ê
N 661  G00X-2105.051   Y 142.161 
N 662  G00X-2105.878   Y 142.577 
N 663  G00X-2106.705   Y 142.977 
N 664  G00X-2107.529   Y 143.361 
N 665  G00X-2108.351   Y 143.729 
N 666  G00X-2108.351   Y 143.729 
N 667  G00X-2109.17    Y 144.094 
N 668  G00X-2109.991   Y 144.45 
N 669  G00X-2110.812   Y 144.797 
N 670  G00X-2111.633   Y 145.135 
N 671  G00X-2112.455   Y 145.464 
N 672  G00X-2113.275   Y 145.784 
N 673  G00X-2114.095   Y 146.095 
N 674  G00X-2114.913   Y 146.396 
N 675  G00X-2115.729   Y 146.688 
N 676  G00X-2116.542   Y 146.97 
N 677  G00X-2117.353   Y 147.243 
N 678  G00X-2118.16    Y 147.506 
N 679  G00X-2118.963   Y 147.759 
N 680  G00X-2119.762   Y 148.002 
N 681  G00X-2120.555   Y 148.235 
N 682  G00X-2121.344   Y 148.458 
N 683  G00X-2122.126   Y 148.671 
N 684  G00X-2122.903   Y 148.874 
N 685  G00X-2123.672   Y 149.066 
N 686  G00X-2124.435   Y 149.248 
N 687  G00X-2124.435   Y 149.248 
N 688  G00X-2125.432   Y 149.485 
N 689  G00X-2126.429   Y 149.714 
N 690  G00X-2127.425   Y 149.934 
N 691  G00X-2128.419   Y 150.146 
N 692  G00X-2129.411   Y 150.35 
N 693  G00X-2130.4     Y 150.545 
N 694  G00X-2131.385   Y 150.731 
N 695  G00X-2132.367   Y 150.908 
N 696  G00X-2133.344   Y 151.077 
N 697  G00X-2134.316   Y 151.238 
N 698  G00X-2135.283   Y 151.389 
N 699  G00X-2136.243   Y 151.532 
N 700  G00X-2137.196   Y 151.666 
N 701  G00X-2138.142   Y 151.791 
N 702  G00X-2139.08    Y 151.907 
N 703  G00X-2140.009   Y 152.014 
N 704  G00X-2140.93    Y 152.113 
N 705  G00X-2141.84    Y 152.202 
N 706  G00X-2142.74    Y 152.282 
N 707  G00X-2143.63    Y 152.354 
N 708  G00X-2143.63    Y 152.354 
N 709  G00X-2144.418   Y 152.42 
N 710  G00X-2145.205   Y 152.482 
N 711  G00X-2145.991   Y 152.541 
N 712  G00X-2146.775   Y 152.596 
N 713  G00X-2147.557   Y 152.648 
N 714  G00X-2148.335   Y 152.696 
N 715  G00X-2149.11    Y 152.74 
N 716  G00X-2149.88    Y 152.781 
N 717  G00X-2150.646   Y 152.818 
N 718  G00X-2151.407   Y 152.851 
N 719  G00X-2152.163   Y 152.881 
N 720  G00X-2152.912   Y 152.907 
N 721  G00X-2153.655   Y 152.929 
N 722  G00X-2154.391   Y 152.948 
N 723  G00X-2155.119   Y 152.963 
N 724  G00X-2155.839   Y 152.975 
N 725  G00X-2156.55    Y 152.983 
N 726  G00X-2157.252   Y 152.987 
N 727  G00X-2157.945   Y 152.988 
N 728  G00X-2158.628   Y 152.985 
N 729  G00X-2158.628   Y 152.985 
N 730  G00X-2178.398   Y 152.985 
N 731  G00X-2178.398   Y 152.985 
N 732  G00X-2178.398   Y-46.812 
N 733  G00X-2178.398   Y-46.812 
N 734  G00X-2158.623   Y-46.812 
N 735  G00X-2158.623   Y-46.812 
N 736  G00X-2157.461   Y-46.812 
N 737  G00X-2156.302   Y-46.805 
N 738  G00X-2155.146   Y-46.79 
N 739  G00X-2153.993   Y-46.768 
N 740  G00X-2152.846   Y-46.737 
N 741  G00X-2151.703   Y-46.7 
N 742  G00X-2150.566   Y-46.655 
N 743  G00X-2149.436   Y-46.602 
N 744  G00X-2148.313   Y-46.543 
N 745  G00X-2147.198   Y-46.476 
N 746  G00X-2146.091   Y-46.402 
N 747  G00X-2144.994   Y-46.322 
N 748  G00X-2143.906   Y-46.234 
N 749  G00X-2142.829   Y-46.14 
N 750  G00X-2141.763   Y-46.039 
N 751  G00X-2140.709   Y-45.932 
N 752  G00X-2139.668   Y-45.818 
N 753  G00X-2138.64    Y-45.698 
N 754  G00X-2137.626   Y-45.572 
N 755  G00X-2136.626   Y-45.439 
N 756  G00X-2136.626   Y-45.439 
N 757  G00X-2135.652   Y-45.309 
N 758  G00X-2134.682   Y-45.172 
N 759  G00X-2133.715   Y-45.026 
N 760  G00X-2132.753   Y-44.874 
N 761  G00X-2131.796   Y-44.714 
N 762  G00X-2130.844   Y-44.547 
N 763  G00X-2129.898   Y-44.373 
N 764  G00X-2128.959   Y-44.193 
N 765  G00X-2128.027   Y-44.006 
N 766  G00X-2127.103   Y-43.813 
N 767  G00X-2126.187   Y-43.613 
N 768  G00X-2125.279   Y-43.408 
N 769  G00X-2124.381   Y-43.196 
N 770  G00X-2123.492   Y-42.98 
N 771  G00X-2122.614   Y-42.757 
N 772  G00X-2121.746   Y-42.53 
N 773  G00X-2120.89    Y-42.297 
N 774  G00X-2120.045   Y-42.059 
N 775  G00X-2119.213   Y-41.816 
N 776  G00X-2118.393   Y-41.569 
N 777  G00X-2118.393   Y-41.569 
N 778  G00X-2117.532   Y-41.308 
N 779  G00X-2116.677   Y-41.038 
N 780  G00X-2115.827   Y-40.761 
N 781  G00X-2114.984   Y-40.476 
N 782  G00X-2114.147   Y-40.183 
N 783  G00X-2113.316   Y-39.883 
N 784  G00X-2112.493   Y-39.577 
N 785  G00X-2111.677   Y-39.263 
N 786  G00X-2110.87    Y-38.943 
N 787  G00X-2110.071   Y-38.617 
N 788  G00X-2109.281   Y-38.285 
N 789  G00X-2108.499   Y-37.947 
N 790  G00X-2107.728   Y-37.604 
N 791  G00X-2106.967   Y-37.255 
N 792  G00X-2106.216   Y-36.901 
N 793  G00X-2105.476   Y-36.543 
N 794  G00X-2104.747   Y-36.18 
N 795  G00X-2104.03    Y-35.813 
N 796  G00X-2103.325   Y-35.442 
N 797  G00X-2102.632   Y-35.067 
N 798  G00X-2102.632   Y-35.067 
N 799  G00X-2101.766   Y-34.594 
N 800  G00X-2100.911   Y-34.11 
N 801  G00X-2100.066   Y-33.616 
N 802  G00X-2099.231   Y-33.112 
N 803  G00X-2098.408   Y-32.598 
N 804  G00X-2097.596   Y-32.075 
N 805  G00X-2096.795   Y-31.543 
N 806  G00X-2096.007   Y-31.003 
N 807  G00X-2095.231   Y-30.455 
N 808  G00X-2094.467   Y-29.898 
N 809  G00X-2093.716   Y-29.335 
N 810  G00X-2092.978   Y-28.764 
N 811  G00X-2092.254   Y-28.187 
N 812  G00X-2091.543   Y-27.604 
N 813  G00X-2090.847   Y-27.015 
N 814  G00X-2090.165   Y-26.42 
N 815  G00X-2089.498   Y-25.821 
N 816  G00X-2088.845   Y-25.217 
N 817  G00X-2088.208   Y-24.608 
N 818  G00X-2087.587   Y-23.996 
N 819  G00X-2087.587   Y-23.996 
N 820  G00X-2087.034   Y-23.429 
N 821  G00X-2086.491   Y-22.857 
N 822  G00X-2085.959   Y-22.28 
N 823  G00X-2085.436   Y-21.698 
N 824  G00X-2084.923   Y-21.112 
N 825  G00X-2084.421   Y-20.521 
N 826  G00X-2083.929   Y-19.927 
N 827  G00X-2083.448   Y-19.33 
N 828  G00X-2082.978   Y-18.729 
N 829  G00X-2082.519   Y-18.126 
N 830  G00X-2082.071   Y-17.52 
N 831  G00X-2081.634   Y-16.913 
N 832  G00X-2081.209   Y-16.304 
N 833  G00X-2080.795   Y-15.694 
N 834  G00X-2080.393   Y-15.083 
N 835  G00X-2080.003   Y-14.471 
N 836  G00X-2079.626   Y-13.859 
N 837  G00X-2079.26    Y-13.248 
N 838  G00X-2078.907   Y-12.637 
N 839  G00X-2078.566   Y-12.027 
N 840  G00X-2078.566   Y-12.027 
N 841  G00X-2078.172   Y-11.319 
N 842  G00X-2077.787   Y-10.609 
N 843  G00X-2077.41    Y-9.897 
N 844  G00X-2077.041   Y-9.184 
N 845  G00X-2076.681   Y-8.47 
N 846  G00X-2076.33    Y-7.757 
N 847  G00X-2075.987   Y-7.043 
N 848  G00X-2075.654   Y-6.33 
N 849  G00X-2075.329   Y-5.617 
N 850  G00X-2075.014   Y-4.906 
N 851  G00X-2074.707   Y-4.197 
N 852  G00X-2074.41    Y-3.49 
N 853  G00X-2074.123   Y-2.786 
N 854  G00X-2073.845   Y-2.085 
N 855  G00X-2073.577   Y-1.387 
N 856  G00X-2073.318   Y-.693 
N 857  G00X-2073.07    Y-.003 
N 858  G00X-2072.831   Y .682 
N 859  G00X-2072.603   Y 1.362 
N 860  G00X-2072.385   Y 2.037 
N 861  G00X-2072.385   Y 2.037 
N 862  G00X-2072.135   Y 2.803 
N 863  G00X-2071.891   Y 3.57 
N 864  G00X-2071.653   Y 4.336 
N 865  G00X-2071.421   Y 5.101 
N 866  G00X-2071.196   Y 5.865 
N 867  G00X-2070.976   Y 6.627 
N 868  G00X-2070.763   Y 7.387 
N 869  G00X-2070.556   Y 8.144 
N 870  G00X-2070.355   Y 8.898 
N 871  G00X-2070.161   Y 9.648 
N 872  G00X-2069.974   Y 10.394 
N 873  G00X-2069.793   Y 11.136 
N 874  G00X-2069.619   Y 11.872 
N 875  G00X-2069.452   Y 12.603 
N 876  G00X-2069.291   Y 13.328 
N 877  G00X-2069.138   Y 14.047 
N 878  G00X-2068.992   Y 14.759 
N 879  G00X-2068.852   Y 15.464 
N 880  G00X-2068.72    Y 16.16 
N 881  G00X-2068.595   Y 16.849 
N 882  G00X-2068.595   Y 16.849 
N 883  G00X-2068.408   Y 17.884 
N 884  G00X-2068.227   Y 18.917 
N 885  G00X-2068.052   Y 19.949 
N 886  G00X-2067.885   Y 20.979 
N 887  G00X-2067.724   Y 22.006 
N 888  G00X-2067.57    Y 23.03 
N 889  G00X-2067.423   Y 24.049 
N 890  G00X-2067.283   Y 25.064 
N 891  G00X-2067.15    Y 26.074 
N 892  G00X-2067.023   Y 27.077 
N 893  G00X-2066.904   Y 28.074 
N 894  G00X-2066.792   Y 29.064 
N 895  G00X-2066.687   Y 30.046 
N 896  G00X-2066.589   Y 31.019 
N 897  G00X-2066.498   Y 31.983 
N 898  G00X-2066.414   Y 32.938 
N 899  G00X-2066.337   Y 33.882 
N 900  G00X-2066.268   Y 34.815 
N 901  G00X-2066.206   Y 35.737 
N 902  G00X-2066.151   Y 36.646 
N 903  G00X-2066.151   Y 36.646 
N 904  G00X-2066.099   Y 37.471 
N 905  G00X-2066.049   Y 38.295 
N 906  G00X-2066.002   Y 39.117 
N 907  G00X-2065.958   Y 39.938 
N 908  G00X-2065.917   Y 40.755 
N 909  G00X-2065.879   Y 41.57 
N 910  G00X-2065.844   Y 42.38 
N 911  G00X-2065.812   Y 43.186 
N 912  G00X-2065.782   Y 43.988 
N 913  G00X-2065.756   Y 44.784 
N 914  G00X-2065.732   Y 45.574 
N 915  G00X-2065.711   Y 46.357 
N 916  G00X-2065.694   Y 47.133 
N 917  G00X-2065.679   Y 47.902 
N 918  G00X-2065.667   Y 48.663 
N 919  G00X-2065.658   Y 49.414 
N 920  G00X-2065.652   Y 50.157 
N 921  G00X-2065.648   Y 50.889 
N 922  G00X-2065.648   Y 51.612 
N 923  G00X-2065.651   Y 52.323 
N 924  G00X 999999     Y 999999 
N 925  G00X-2066.447   Y 642.643 
N 926  G00X-2066.446   Y 643.248 
N 927  G00X-2066.452   Y 643.851 
N 928  G00X-2066.466   Y 644.451 
N 929  G00X-2066.487   Y 645.049 
N 930  G00X-2066.515   Y 645.645 
N 931  G00X-2066.55    Y 646.237 
N 932  G00X-2066.592   Y 646.825 
N 933  G00X-2066.642   Y 647.41 
N 934  G00X-2066.698   Y 647.991 
N 935  G00X-2066.76    Y 648.567 
N 936  G00X-2066.83    Y 649.139 
N 937  G00X-2066.906   Y 649.706 
N 938  G00X-2066.988   Y 650.268 
N 939  G00X-2067.076   Y 650.825 
N 940  G00X-2067.171   Y 651.375 
N 941  G00X-2067.272   Y 651.92 
N 942  G00X-2067.379   Y 652.458 
N 943  G00X-2067.492   Y 652.99 
N 944  G00X-2067.611   Y 653.515 
N 945  G00X-2067.736   Y 654.032 
N 946  G00X-2067.736   Y 654.032 
N 947  G00X-2067.883   Y 654.623 
N 948  G00X-2068.04    Y 655.209 
N 949  G00X-2068.206   Y 655.79 
N 950  G00X-2068.382   Y 656.365 
N 951  G00X-2068.567   Y 656.934 
N 952  G00X-2068.761   Y 657.496 
N 953  G00X-2068.964   Y 658.053 
N 954  G00X-2069.176   Y 658.603 
N 955  G00X-2069.396   Y 659.146 
N 956  G00X-2069.624   Y 659.682 
N 957  G00X-2069.861   Y 660.21 
N 958  G00X-2070.105   Y 660.731 
N 959  G00X-2070.356   Y 661.245 
N 960  G00X-2070.615   Y 661.751 
N 961  G00X-2070.881   Y 662.248 
N 962  G00X-2071.155   Y 662.737 
N 963  G00X-2071.435   Y 663.218 
N 964  G00X-2071.721   Y 663.689 
N 965  G00X-2072.014   Y 664.152 
N 966  G00X-2072.313   Y 664.605 
N 967  G00X-2072.313   Y 664.605 
N 968  G00X-2072.687   Y 665.149 
N 969  G00X-2073.071   Y 665.683 
N 970  G00X-2073.463   Y 666.207 
N 971  G00X-2073.864   Y 666.72 
N 972  G00X-2074.273   Y 667.222 
N 973  G00X-2074.689   Y 667.714 
N 974  G00X-2075.113   Y 668.195 
N 975  G00X-2075.544   Y 668.665 
N 976  G00X-2075.982   Y 669.124 
N 977  G00X-2076.426   Y 669.572 
N 978  G00X-2076.877   Y 670.009 
N 979  G00X-2077.333   Y 670.434 
N 980  G00X-2077.795   Y 670.847 
N 981  G00X-2078.262   Y 671.249 
N 982  G00X-2078.734   Y 671.639 
N 983  G00X-2079.211   Y 672.017 
N 984  G00X-2079.691   Y 672.383 
N 985  G00X-2080.176   Y 672.736 
N 986  G00X-2080.665   Y 673.078 
N 987  G00X-2081.157   Y 673.406 
N 988  G00X-2081.157   Y 673.406 
N 989  G00X-2081.788   Y 673.816 
N 990  G00X-2082.422   Y 674.217 
N 991  G00X-2083.059   Y 674.609 
N 992  G00X-2083.698   Y 674.992 
N 993  G00X-2084.339   Y 675.366 
N 994  G00X-2084.981   Y 675.73 
N 995  G00X-2085.624   Y 676.085 
N 996  G00X-2086.268   Y 676.43 
N 997  G00X-2086.912   Y 676.766 
N 998  G00X-2087.557   Y 677.092 
N 999  G00X-2088.2     Y 677.408 
N 1000 G00X-2088.844   Y 677.714 
N 1001 G00X-2089.485   Y 678.009 
N 1002 G00X-2090.126   Y 678.295 
N 1003 G00X-2090.764   Y 678.571 
N 1004 G00X-2091.4     Y 678.836 
N 1005 G00X-2092.034   Y 679.09 
N 1006 G00X-2092.665   Y 679.335 
N 1007 G00X-2093.292   Y 679.568 
N 1008 G00X-2093.916   Y 679.791 
N 1009 G00X-2093.916   Y 679.791 
N 1010 G00X-2094.749   Y 680.084 
N 1011 G00X-2095.583   Y 680.368 
N 1012 G00X-2096.418   Y 680.641 
N 1013 G00X-2097.253   Y 680.904 
N 1014 G00X-2098.086   Y 681.156 
N 1015 G00X-2098.919   Y 681.398 
N 1016 G00X-2099.75    Y 681.63 
N 1017 G00X-2100.58    Y 681.851 
N 1018 G00X-2101.406   Y 682.062 
N 1019 G00X-2102.23    Y 682.262 
N 1020 G00X-2103.051   Y 682.452 
N 1021 G00X-2103.868   Y 682.631 
N 1022 G00X-2104.68    Y 682.799 
N 1023 G00X-2105.488   Y 682.957 
N 1024 G00X-2106.291   Y 683.105 
N 1025 G00X-2107.088   Y 683.242 
N 1026 G00X-2107.879   Y 683.368 
N 1027 G00X-2108.663   Y 683.483 
N 1028 G00X-2109.44    Y 683.588 
N 1029 G00X-2110.211   Y 683.682 
N 1030 G00X-2110.211   Y 683.682 
N 1031 G00X-2110.899   Y 683.767 
N 1032 G00X-2111.587   Y 683.848 
N 1033 G00X-2112.273   Y 683.924 
N 1034 G00X-2112.957   Y 683.995 
N 1035 G00X-2113.64    Y 684.062 
N 1036 G00X-2114.32    Y 684.124 
N 1037 G00X-2114.997   Y 684.181 
N 1038 G00X-2115.67    Y 684.234 
N 1039 G00X-2116.34    Y 684.281 
N 1040 G00X-2117.006   Y 684.325 
N 1041 G00X-2117.667   Y 684.363 
N 1042 G00X-2118.323   Y 684.397 
N 1043 G00X-2118.974   Y 684.426 
N 1044 G00X-2119.619   Y 684.45 
N 1045 G00X-2120.258   Y 684.47 
N 1046 G00X-2120.891   Y 684.485 
N 1047 G00X-2121.516   Y 684.495 
N 1048 G00X-2122.134   Y 684.501 
N 1049 G00X-2122.744   Y 684.502 
N 1050 G00X-2123.346   Y 684.498 
N 1051 G00X-2123.346   Y 684.498 
N 1052 G00X-2189.318   Y 684.498 
N 1053 G00X-2189.318   Y 684.498 
N 1054 G00X-2189.318   Y 595.516 
N 1055 G00X-2189.318   Y 595.516 
N 1056 G00X-2125.607   Y 595.516 
N 1057 G00X-2125.607   Y 595.516 
N 1058 G00X-2124.615   Y 595.516 
N 1059 G00X-2123.626   Y 595.527 
N 1060 G00X-2122.64    Y 595.548 
N 1061 G00X-2121.658   Y 595.579 
N 1062 G00X-2120.681   Y 595.621 
N 1063 G00X-2119.708   Y 595.672 
N 1064 G00X-2118.741   Y 595.733 
N 1065 G00X-2117.78    Y 595.804 
N 1066 G00X-2116.825   Y 595.884 
N 1067 G00X-2115.877   Y 595.974 
N 1068 G00X-2114.937   Y 596.073 
N 1069 G00X-2114.004   Y 596.181 
N 1070 G00X-2113.08    Y 596.298 
N 1071 G00X-2112.165   Y 596.424 
N 1072 G00X-2111.259   Y 596.558 
N 1073 G00X-2110.364   Y 596.701 
N 1074 G00X-2109.478   Y 596.853 
N 1075 G00X-2108.604   Y 597.013 
N 1076 G00X-2107.741   Y 597.181 
N 1077 G00X-2106.89    Y 597.357 
N 1078 G00X-2106.89    Y 597.357 
N 1079 G00X-2105.817   Y 597.585 
N 1080 G00X-2104.752   Y 597.828 
N 1081 G00X-2103.694   Y 598.085 
N 1082 G00X-2102.645   Y 598.357 
N 1083 G00X-2101.605   Y 598.644 
N 1084 G00X-2100.574   Y 598.944 
N 1085 G00X-2099.553   Y 599.257 
N 1086 G00X-2098.543   Y 599.584 
N 1087 G00X-2097.542   Y 599.924 
N 1088 G00X-2096.553   Y 600.277 
N 1089 G00X-2095.576   Y 600.642 
N 1090 G00X-2094.61    Y 601.019 
N 1091 G00X-2093.657   Y 601.408 
N 1092 G00X-2092.716   Y 601.808 
N 1093 G00X-2091.789   Y 602.219 
N 1094 G00X-2090.875   Y 602.641 
N 1095 G00X-2089.976   Y 603.073 
N 1096 G00X-2089.091   Y 603.515 
N 1097 G00X-2088.221   Y 603.968 
N 1098 G00X-2087.367   Y 604.429 
N 1099 G00X-2087.367   Y 604.429 
N 1100 G00X-2087.049   Y 604.601 
N 1101 G00X-2086.733   Y 604.774 
N 1102 G00X-2086.419   Y 604.949 
N 1103 G00X-2086.107   Y 605.125 
N 1104 G00X-2085.797   Y 605.302 
N 1105 G00X-2085.489   Y 605.481 
N 1106 G00X-2085.185   Y 605.661 
N 1107 G00X-2084.883   Y 605.841 
N 1108 G00X-2084.584   Y 606.022 
N 1109 G00X-2084.288   Y 606.204 
N 1110 G00X-2083.995   Y 606.387 
N 1111 G00X-2083.706   Y 606.569 
N 1112 G00X-2083.42    Y 606.753 
N 1113 G00X-2083.139   Y 606.936 
N 1114 G00X-2082.861   Y 607.119 
N 1115 G00X-2082.587   Y 607.302 
N 1116 G00X-2082.318   Y 607.485 
N 1117 G00X-2082.053   Y 607.668 
N 1118 G00X-2081.793   Y 607.85 
N 1119 G00X-2081.538   Y 608.031 
N 1120 G00X-2081.538   Y 608.031 
N 1121 G00X-2080.753   Y 608.614 
N 1122 G00X-2079.989   Y 609.215 
N 1123 G00X-2079.247   Y 609.834 
N 1124 G00X-2078.527   Y 610.47 
N 1125 G00X-2077.829   Y 611.122 
N 1126 G00X-2077.153   Y 611.789 
N 1127 G00X-2076.5     Y 612.472 
N 1128 G00X-2075.869   Y 613.169 
N 1129 G00X-2075.26    Y 613.88 
N 1130 G00X-2074.675   Y 614.603 
N 1131 G00X-2074.112   Y 615.34 
N 1132 G00X-2073.572   Y 616.088 
N 1133 G00X-2073.056   Y 616.847 
N 1134 G00X-2072.562   Y 617.616 
N 1135 G00X-2072.093   Y 618.396 
N 1136 G00X-2071.646   Y 619.185 
N 1137 G00X-2071.224   Y 619.983 
N 1138 G00X-2070.825   Y 620.788 
N 1139 G00X-2070.45    Y 621.601 
N 1140 G00X-2070.099   Y 622.421 
N 1141 G00X-2070.099   Y 622.421 
N 1142 G00X-2069.868   Y 622.985 
N 1143 G00X-2069.645   Y 623.55 
N 1144 G00X-2069.43    Y 624.117 
N 1145 G00X-2069.224   Y 624.683 
N 1146 G00X-2069.026   Y 625.25 
N 1147 G00X-2068.836   Y 625.817 
N 1148 G00X-2068.655   Y 626.383 
N 1149 G00X-2068.482   Y 626.949 
N 1150 G00X-2068.317   Y 627.513 
N 1151 G00X-2068.161   Y 628.077 
N 1152 G00X-2068.014   Y 628.638 
N 1153 G00X-2067.874   Y 629.198 
N 1154 G00X-2067.744   Y 629.755 
N 1155 G00X-2067.621   Y 630.31 
N 1156 G00X-2067.507   Y 630.862 
N 1157 G00X-2067.402   Y 631.411 
N 1158 G00X-2067.305   Y 631.957 
N 1159 G00X-2067.216   Y 632.498 
N 1160 G00X-2067.136   Y 633.036 
N 1161 G00X-2067.065   Y 633.569 
N 1162 G00X-2067.065   Y 633.569 
N 1163 G00X-2067       Y 634.044 
N 1164 G00X-2066.938   Y 634.519 
N 1165 G00X-2066.881   Y 634.992 
N 1166 G00X-2066.826   Y 635.465 
N 1167 G00X-2066.776   Y 635.936 
N 1168 G00X-2066.729   Y 636.405 
N 1169 G00X-2066.686   Y 636.872 
N 1170 G00X-2066.646   Y 637.337 
N 1171 G00X-2066.61    Y 637.8 
N 1172 G00X-2066.577   Y 638.26 
N 1173 G00X-2066.548   Y 638.716 
N 1174 G00X-2066.523   Y 639.17 
N 1175 G00X-2066.501   Y 639.619 
N 1176 G00X-2066.482   Y 640.065 
N 1177 G00X-2066.468   Y 640.507 
N 1178 G00X-2066.456   Y 640.944 
N 1179 G00X-2066.449   Y 641.376 
N 1180 G00X-2066.445   Y 641.804 
N 1181 G00X-2066.444   Y 642.226 
N 1182 G00X-2066.447   Y 642.643 
N 1183 G00X 999999     Y 999999 
N 1184 G00X-2057.384   Y 509.319 
N 1185 G00X-2057.383   Y 509.958 
N 1186 G00X-2057.39    Y 510.595 
N 1187 G00X-2057.405   Y 511.229 
N 1188 G00X-2057.427   Y 511.86 
N 1189 G00X-2057.456   Y 512.489 
N 1190 G00X-2057.492   Y 513.115 
N 1191 G00X-2057.535   Y 513.736 
N 1192 G00X-2057.585   Y 514.354 
N 1193 G00X-2057.643   Y 514.968 
N 1194 G00X-2057.707   Y 515.577 
N 1195 G00X-2057.777   Y 516.182 
N 1196 G00X-2057.855   Y 516.781 
N 1197 G00X-2057.938   Y 517.375 
N 1198 G00X-2058.029   Y 517.963 
N 1199 G00X-2058.125   Y 518.545 
N 1200 G00X-2058.228   Y 519.12 
N 1201 G00X-2058.337   Y 519.689 
N 1202 G00X-2058.452   Y 520.251 
N 1203 G00X-2058.573   Y 520.805 
N 1204 G00X-2058.699   Y 521.352 
N 1205 G00X-2058.699   Y 521.352 
N 1206 G00X-2058.854   Y 521.998 
N 1207 G00X-2059.018   Y 522.639 
N 1208 G00X-2059.193   Y 523.273 
N 1209 G00X-2059.378   Y 523.902 
N 1210 G00X-2059.573   Y 524.524 
N 1211 G00X-2059.777   Y 525.14 
N 1212 G00X-2059.991   Y 525.75 
N 1213 G00X-2060.214   Y 526.352 
N 1214 G00X-2060.445   Y 526.947 
N 1215 G00X-2060.686   Y 527.535 
N 1216 G00X-2060.935   Y 528.115 
N 1217 G00X-2061.192   Y 528.687 
N 1218 G00X-2061.458   Y 529.251 
N 1219 G00X-2061.731   Y 529.807 
N 1220 G00X-2062.012   Y 530.353 
N 1221 G00X-2062.301   Y 530.891 
N 1222 G00X-2062.596   Y 531.42 
N 1223 G00X-2062.899   Y 531.939 
N 1224 G00X-2063.208   Y 532.449 
N 1225 G00X-2063.524   Y 532.949 
N 1226 G00X-2063.524   Y 532.949 
N 1227 G00X-2063.911   Y 533.536 
N 1228 G00X-2064.306   Y 534.114 
N 1229 G00X-2064.711   Y 534.681 
N 1230 G00X-2065.125   Y 535.238 
N 1231 G00X-2065.547   Y 535.784 
N 1232 G00X-2065.977   Y 536.319 
N 1233 G00X-2066.415   Y 536.843 
N 1234 G00X-2066.86    Y 537.357 
N 1235 G00X-2067.313   Y 537.859 
N 1236 G00X-2067.772   Y 538.35 
N 1237 G00X-2068.238   Y 538.829 
N 1238 G00X-2068.709   Y 539.296 
N 1239 G00X-2069.187   Y 539.752 
N 1240 G00X-2069.67    Y 540.196 
N 1241 G00X-2070.159   Y 540.627 
N 1242 G00X-2070.652   Y 541.047 
N 1243 G00X-2071.15    Y 541.453 
N 1244 G00X-2071.652   Y 541.848 
N 1245 G00X-2072.158   Y 542.229 
N 1246 G00X-2072.667   Y 542.598 
N 1247 G00X-2072.667   Y 542.598 
N 1248 G00X-2073.08    Y 542.894 
N 1249 G00X-2073.494   Y 543.185 
N 1250 G00X-2073.911   Y 543.471 
N 1251 G00X-2074.328   Y 543.751 
N 1252 G00X-2074.747   Y 544.026 
N 1253 G00X-2075.167   Y 544.295 
N 1254 G00X-2075.587   Y 544.559 
N 1255 G00X-2076.008   Y 544.817 
N 1256 G00X-2076.429   Y 545.069 
N 1257 G00X-2076.85    Y 545.315 
N 1258 G00X-2077.271   Y 545.556 
N 1259 G00X-2077.69    Y 545.79 
N 1260 G00X-2078.109   Y 546.018 
N 1261 G00X-2078.527   Y 546.239 
N 1262 G00X-2078.944   Y 546.454 
N 1263 G00X-2079.359   Y 546.663 
N 1264 G00X-2079.772   Y 546.865 
N 1265 G00X-2080.184   Y 547.06 
N 1266 G00X-2080.592   Y 547.249 
N 1267 G00X-2080.999   Y 547.43 
N 1268 G00X-2080.999   Y 547.43 
N 1269 G00X-2082.417   Y 548.078 
N 1270 G00X-2083.839   Y 548.703 
N 1271 G00X-2085.265   Y 549.307 
N 1272 G00X-2086.692   Y 549.89 
N 1273 G00X-2088.121   Y 550.451 
N 1274 G00X-2089.55    Y 550.99 
N 1275 G00X-2090.98    Y 551.508 
N 1276 G00X-2092.408   Y 552.003 
N 1277 G00X-2093.835   Y 552.477 
N 1278 G00X-2095.259   Y 552.929 
N 1279 G00X-2096.679   Y 553.359 
N 1280 G00X-2098.096   Y 553.767 
N 1281 G00X-2099.508   Y 554.153 
N 1282 G00X-2100.915   Y 554.517 
N 1283 G00X-2102.315   Y 554.858 
N 1284 G00X-2103.708   Y 555.177 
N 1285 G00X-2105.093   Y 555.475 
N 1286 G00X-2106.469   Y 555.749 
N 1287 G00X-2107.836   Y 556.002 
N 1288 G00X-2109.193   Y 556.232 
N 1289 G00X-2109.193   Y 556.232 
N 1290 G00X-2110.404   Y 556.435 
N 1291 G00X-2111.615   Y 556.627 
N 1292 G00X-2112.823   Y 556.808 
N 1293 G00X-2114.028   Y 556.977 
N 1294 G00X-2115.23    Y 557.136 
N 1295 G00X-2116.429   Y 557.283 
N 1296 G00X-2117.622   Y 557.419 
N 1297 G00X-2118.81    Y 557.543 
N 1298 G00X-2119.992   Y 557.657 
N 1299 G00X-2121.168   Y 557.76 
N 1300 G00X-2122.336   Y 557.851 
N 1301 G00X-2123.496   Y 557.932 
N 1302 G00X-2124.647   Y 558.001 
N 1303 G00X-2125.789   Y 558.06 
N 1304 G00X-2126.921   Y 558.108 
N 1305 G00X-2128.042   Y 558.144 
N 1306 G00X-2129.152   Y 558.17 
N 1307 G00X-2130.25    Y 558.185 
N 1308 G00X-2131.335   Y 558.189 
N 1309 G00X-2132.407   Y 558.182 
N 1310 G00X-2132.407   Y 558.182 
N 1311 G00X-2189.318   Y 558.182 
