ÐòºÅ     x×ø±ê             y×ø±ê
N 152  G00X-2490.473   Y-33.94 
N 153  G00X-2487.208   Y-32.552 
N 154  G00X-2484.062   Y-31.052 
N 155  G00X-2481.034   Y-29.441 
N 156  G00X-2478.126   Y-27.719 
N 157  G00X-2475.336   Y-25.886 
N 158  G00X-2472.664   Y-23.942 
N 159  G00X-2470.112   Y-21.887 
N 160  G00X-2467.678   Y-19.721 
N 161  G00X-2467.678   Y-19.721 
N 162  G00X-2465.363   Y-17.413 
N 163  G00X-2463.166   Y-14.932 
N 164  G00X-2461.088   Y-12.279 
N 165  G00X-2459.129   Y-9.454 
N 166  G00X-2457.289   Y-6.457 
N 167  G00X-2455.568   Y-3.287 
N 168  G00X-2453.965   Y .056 
N 169  G00X-2452.481   Y 3.57 
N 170  G00X-2451.115   Y 7.258 
N 171  G00X-2449.869   Y 11.117 
N 172  G00X-2448.741   Y 15.149 
N 173  G00X-2447.732   Y 19.353 
N 174  G00X-2446.841   Y 23.73 
N 175  G00X-2446.07    Y 28.279 
N 176  G00X-2445.417   Y 33 
N 177  G00X-2444.882   Y 37.894 
N 178  G00X-2444.467   Y 42.96 
N 179  G00X-2444.17    Y 48.199 
N 180  G00X-2443.992   Y 53.61 
N 181  G00X-2443.933   Y 59.193 
N 182  G00X 999999     Y 999999 
N 183  G00X-2381.293   Y 516.178 
N 184  G00X-2381.384   Y 511.169 
N 185  G00X-2381.656   Y 506.318 
N 186  G00X-2382.109   Y 501.625 
N 187  G00X-2382.743   Y 497.09 
N 188  G00X-2383.559   Y 492.713 
N 189  G00X-2384.556   Y 488.493 
N 190  G00X-2385.734   Y 484.432 
N 191  G00X-2387.093   Y 480.528 
N 192  G00X-2388.634   Y 476.783 
N 193  G00X-2390.356   Y 473.195 
N 194  G00X-2392.259   Y 469.765 
N 195  G00X-2394.343   Y 466.493 
N 196  G00X-2396.608   Y 463.379 
N 197  G00X-2399.055   Y 460.423 
N 198  G00X-2401.683   Y 457.625 
N 199  G00X-2404.493   Y 454.985 
N 200  G00X-2407.483   Y 452.502 
N 201  G00X-2410.655   Y 450.178 
N 202  G00X-2414.008   Y 448.011 
N 203  G00X-2417.542   Y 446.002 
N 204  G00X-2417.542   Y 446.002 
N 205  G00X-2421.218   Y 444.121 
N 206  G00X-2424.996   Y 442.335 
N 207  G00X-2428.876   Y 440.647 
N 208  G00X-2432.857   Y 439.055 
N 209  G00X-2436.941   Y 437.559 
N 210  G00X-2441.127   Y 436.16 
N 211  G00X-2445.414   Y 434.857 
N 212  G00X-2449.804   Y 433.651 
N 213  G00X-2454.295   Y 432.542 
N 214  G00X-2458.888   Y 431.528 
N 215  G00X-2463.584   Y 430.612 
N 216  G00X-2468.381   Y 429.792 
N 217  G00X-2473.28    Y 429.068 
N 218  G00X-2478.282   Y 428.441 
N 219  G00X-2483.385   Y 427.91 
N 220  G00X-2488.59    Y 427.476 
N 221  G00X-2493.897   Y 427.138 
N 222  G00X-2499.306   Y 426.897 
N 223  G00X-2504.817   Y 426.752 
N 224  G00X-2510.43    Y 426.704 
N 225  G00X-2510.43    Y 426.704 
N 226  G00X-2623.708   Y 426.704 
N 227  G00X-2623.708   Y 426.704 
N 228  G00X-2623.708   Y 726.704 
N 229  G00X-2623.708   Y 726.704 
N 230  G00X-2505.899   Y 726.704 
N 231  G00X-2505.899   Y 726.704 
N 232  G00X-2500.306   Y 726.647 
N 233  G00X-2494.854   Y 726.476 
N 234  G00X-2489.544   Y 726.191 
N 235  G00X-2484.376   Y 725.792 
N 236  G00X-2479.349   Y 725.279 
N 237  G00X-2474.464   Y 724.652 
N 238  G00X-2469.721   Y 723.91 
N 239  G00X-2465.119   Y 723.055 
N 240  G00X-2460.658   Y 722.086 
N 241  G00X-2456.34    Y 721.003 
N 242  G00X-2452.163   Y 719.805 
N 243  G00X-2448.127   Y 718.494 
N 244  G00X-2444.233   Y 717.068 
N 245  G00X-2440.481   Y 715.529 
N 246  G00X-2436.87    Y 713.875 
N 247  G00X-2433.401   Y 712.108 
N 248  G00X-2430.073   Y 710.226 
N 249  G00X-2426.887   Y 708.231 
N 250  G00X-2423.843   Y 706.121 
N 251  G00X-2420.94    Y 703.897 
N 252  G00X-2420.94    Y 703.897 
N 253  G00X-2418.179   Y 701.595 
N 254  G00X-2415.56    Y 699.248 
N 255  G00X-2413.082   Y 696.858 
N 256  G00X-2410.745   Y 694.424 
N 257  G00X-2408.551   Y 691.945 
N 258  G00X-2406.498   Y 689.424 
N 259  G00X-2404.586   Y 686.858 
N 260  G00X-2402.816   Y 684.248 
N 261  G00X-2401.188   Y 681.595 
N 262  G00X-2399.701   Y 678.897 
N 263  G00X-2398.356   Y 676.156 
N 264  G00X-2397.152   Y 673.371 
N 265  G00X-2396.09    Y 670.542 
N 266  G00X-2395.17    Y 667.669 
N 267  G00X-2394.391   Y 664.752 
N 268  G00X-2393.754   Y 661.792 
N 269  G00X-2393.258   Y 658.788 
N 270  G00X-2392.904   Y 655.739 
N 271  G00X-2392.692   Y 652.647 
N 272  G00X-2392.621   Y 649.511 
N 273  G00X-2392.621   Y 649.511 
N 274  G00X-2392.669   Y 646.395 
N 275  G00X-2392.814   Y 643.362 
N 276  G00X-2393.054   Y 640.413 
N 277  G00X-2393.391   Y 637.546 
N 278  G00X-2393.825   Y 634.763 
N 279  G00X-2394.354   Y 632.064 
N 280  G00X-2394.98    Y 629.448 
